;ID_natural;SMILES;NumAtoms;MolWt;MolLogp;HAcceptors;HDonors;RindCount;tpsa;RotableBonds;MolecularFormula
1799;SN0000894;CCCCCOc1ccc(N2C(=O)C3C4c5ccccc5C(c5cc(C)ccc54)C3C2=O)cc1;34;451.214743788;5.960620000000006;3;0;7;46.61;6;C30H29NO3
1800;SN0000894;CCCCCOc1ccc(N2C(=O)[C@@H]3[C@@H]4c5ccccc5[C@H](c5cc(C)ccc54)[C@H]3C2=O)cc1;34;451.214743788;5.960620000000006;3;0;7;46.61;6;C30H29NO3
1801;SN0000894;CCCCCOc1ccc(N2C(=O)[C@@H]3[C@H]4c5ccccc5[C@H](c5cc(C)ccc54)[C@@H]3C2=O)cc1;34;451.214743788;5.960620000000006;3;0;7;46.61;6;C30H29NO3
1802;SN0000894;CCCCCOc1ccc(N2C(=O)[C@H]3[C@@H]4c5ccccc5[C@H](c5cc(C)ccc54)[C@@H]3C2=O)cc1;34;451.214743788;5.960620000000006;3;0;7;46.61;6;C30H29NO3
1803;SN0000894;CCCCCOc1ccc(N2C(=O)[C@@H]3[C@@H]4c5ccccc5[C@@H](c5ccc(C)cc54)[C@@H]3C2=O)cc1;34;451.214743788;5.960620000000006;3;0;7;46.61;6;C30H29NO3
1804;SN0000895;COCCN1C(=O)c2ccccc2C(C(=O)Nc2ccc3[nH]ccc3c2)C12CCCCC2;32;431.2208917880001;4.695300000000004;3;2;5;74.43;5;C26H29N3O3
1805;SN0000895;COCCN1C(=O)c2ccccc2[C@H](C(=O)Nc2ccc3[nH]ccc3c2)C12CCCCC2;32;431.2208917880001;4.695300000000004;3;2;5;74.43;5;C26H29N3O3
1806;SN0000895;COCCN1C(=O)c2ccccc2[C@@H](C(=O)Nc2ccc3[nH]ccc3c2)C12CCCCC2;32;431.2208917880001;4.695300000000004;3;2;5;74.43;5;C26H29N3O3
1807;SN0000896;Cc1cc2c(cn1)C(=Cc1ccccc1)c1ccccc1-2;21;269.12044948;4.9593200000000035;1;0;4;12.89;1;C20H15N
1808;SN0000896;Cc1cc2c(cn1)/C(=C\c1ccccc1)c1ccccc1-2;21;269.12044948;4.9593200000000035;1;0;4;12.89;1;C20H15N
1809;SN0000897;Cc1csc(-c2cc3ccc(OC(=O)c4ccccc4Cl)cc3oc2=O)n1;27;397.01755654399994;5.097520000000003;6;0;4;69.4;3;C20H12ClNO4S
1810;SN0000898;COc1cc2c(cc1OC)C1C(CC=C3CCN(C)C31)OC2OC;24;331.17835828;2.865400000000001;5;0;4;40.160000000000004;3;C19H25NO4
1811;SN0000898;COc1cc2c(cc1OC)[C@H]1[C@H]3C(=CC[C@H]1O[C@@H]2OC)CCN3C;24;331.17835828000005;2.865400000000001;5;0;4;40.160000000000004;3;C19H25NO4
1812;SN0000898;COc1cc2c(cc1OC)[C@H]1[C@H](CC=C3CCN(C)[C@@H]31)O[C@H]2OC;24;331.17835828;2.865400000000001;5;0;4;40.160000000000004;3;C19H25NO4
1813;SN0000900;CC(C)=CCCC(C)=CCOc1cc(C)c(C(=O)O)c(O)c1;22;304.167459248;4.4703200000000045;3;2;1;66.76;7;C18H24O4
1814;SN0000900;CC(C)=CCC/C(C)=C/COc1cc(C)c(C(=O)O)c(O)c1;22;304.167459248;4.4703200000000045;3;2;1;66.76;7;C18H24O4
1815;SN0000901;CC1=CCCC2(C)OC3CC(C)C(C)(CC1)C1=C3C(O)(OC1)C2O;24;334.21440943999994;3.086600000000002;4;2;6;58.92;0;C20H30O4
1816;SN0000901;C/C1=C\CC[C@]2(C)O[C@@H]3C[C@@H](C)[C@](C)(CC1)C1=C3[C@](O)(OC1)[C@H]2O;24;334.21440943999994;3.086600000000002;4;2;6;58.92;0;C20H30O4
1817;SN0000901;C/C1=C/CC[C@]2(C)O[C@@H]3C[C@@H](C)[C@](C)(CC1)C1=C3[C@](O)(OC1)[C@H]2O;24;334.21440943999994;3.086600000000002;4;2;6;58.92;0;C20H30O4
1818;SN0000901;CC1=CCC[C@]2(C)O[C@@H]3C[C@@H](C)[C@](C)(CC1)C1=C3[C@](O)(OC1)[C@H]2O;24;334.21440943999994;3.086600000000002;4;2;6;58.92;0;C20H30O4
1819;SN0000902;CC1CCC2C3C(C)(CCC13O)CC2(C)C;16;222.198365452;3.6098000000000026;1;1;3;20.23;0;C15H26O
1820;SN0000902;C[C@@H]1CC[C@@H]2[C@@H]3[C@@](C)(CC[C@]13O)CC2(C)C;16;222.198365452;3.6098000000000026;1;1;3;20.23;0;C15H26O
1821;SN0000902;C[C@H]1CC[C@H]2[C@H]3[C@](C)(CC[C@]13O)CC2(C)C;16;222.198365452;3.6098000000000026;1;1;3;20.23;0;C15H26O
1822;SN0000902;C[C@@H]1CC[C@@H]2[C@@H]3[C@@](C)(CC[C@@]13O)CC2(C)C;16;222.198365452;3.6098000000000026;1;1;3;20.23;0;C15H26O
1823;SN0000903;CCCCCCCCC=CCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCCCCCC;54;762.7101261079998;15.63369999999996;5;1;0;72.83000000000001;45;C49H94O5
1824;SN0000903;CCCCCCCCC=CCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCCCCCCC;54;762.7101261079998;15.63369999999996;5;1;0;72.83000000000001;45;C49H94O5
1825;SN0000903;CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCCCCCC;54;762.7101261079998;15.63369999999996;5;1;0;72.83000000000001;45;C49H94O5
1826;SN0000904;CC(=O)OC1C2C(C)(C)C(O)CCC2(C)C2C(O)CC3CC2(C(=O)C3CCC23OC4CC2CC2(C3=O)C(O)C(OC(C)=O)C3C(C)(C)C(O)CCC3(C)C42)C1O;56;784.439777488;3.2911000000000024;12;5;10;197.11999999999998;5;C44H64O12
1827;SN0000904;CC(=O)O[C@@H]1[C@@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@@H]2[C@@H]3C[C@@H]4C[C@]2(C(=O)[C@]4(CC[C@H]2C(=O)[C@]45C[C@H]2C[C@H](O)[C@H]4[C@]2(C)CC[C@H](O)C(C)(C)[C@H]2[C@@H](OC(C)=O)[C@@H]5O)O3)[C@H]1O;56;784.4397774880001;3.2911000000000032;12;5;10;197.11999999999998;5;C44H64O12
1828;SN0000905;CC(=O)Nc1ccc(-c2ccc(=O)n3c2C2CC(CN(C(=O)Nc4cccc(C#N)c4)C2)C3)cc1;35;467.19573966;3.9965800000000025;5;2;5;107.22999999999999;3;C27H25N5O3
1829;SN0000905;CC(=O)Nc1ccc(-c2ccc(=O)n3c2[C@H]2C[C@@H](CN(C(=O)Nc4cccc(C#N)c4)C2)C3)cc1;35;467.19573966;3.9965800000000025;5;2;5;107.22999999999999;3;C27H25N5O3
